rank,Youtuber,subscribers,video views,video count,category,started
258,SAVI魔人SAVI魔人 ,"81,100","43,518,174","4,796",Gaming,2012
259,Baka Shiro小白Baka Shiro小白 ,"80,200","5,936,550",304,People & Blogs,2013
260,盖世猪猪丶盖世猪猪丶 ,"79,500","14,576,400",121,Film & Animation,2020
261,Paul GorPaul Gor ,"79,300","6,080,762",87,Travel & Events,2015
262,kikolimakeupkikolimakeup ,"79,200","8,141,305",202,Howto & Style,2011
263,Freeminder EmiFreeminder Emi ,"79,100","18,446,895",545,People & Blogs,2013
264,Janice Vidal衛蘭Janice Vidal衛蘭 ,"79,000","51,994,586",60,People & Blogs,2015
265,MADCOUPLEMADCOUPLE ,"79,000","8,466,678",84,People & Blogs,2015
266,麥兜Mcdull麥兜Mcdull ,"78,600","23,889,156",109,Film & Animation,2014
267,Camvideo HKCamvideo HK ,"78,600","143,442,876","8,801",Autos & Vehicles,2010
268,BC ProductionBC Production ,"77,900","18,622,912",49,Entertainment,2016
269,MC張天賦MC張天賦 ,"77,500","23,683,733",29,Music,2019
270,Yelo黃曉晴Yelo黃曉晴 ,"77,400","5,002,263",60,People & Blogs,2010
271,Rational Football Analysis理性分析Rational Football Analysis理性分析 ,"77,400","12,928,779",488,Sports,2014
272,CrazyFamilyCrazyFamily ,"76,700","9,215,643",225,Comedy,2013
273,小包小包小包小包 ,"76,000","22,911,861",332,Gaming,2020
274,凍檸走杯 SamChanX凍檸走杯 SamChanX ,"75,700","2,411,320",67,Film & Animation,2006
275,WillWill FunHouseWillWill FunHouse ,"75,500","27,431,466","2,174",Gaming,2014
276,麦总去哪吃麦总去哪吃 ,"75,500","43,479,960",311,Howto & Style,2020
277,CommaComma ,"75,100","9,687,639",496,Education,2018
278,Ryan wsRyan ws ,"74,600","38,770,457","2,744",Gaming,2009
279,PressLogic 女生日常PressLogic 女生日常 ,"74,200","15,383,177",654,People & Blogs,2016
280,Dora 多啦Dora 多啦 ,"74,000","9,112,699",150,People & Blogs,2016
281,赶海联盟赶海联盟 ,"73,900","12,167,791",13,Howto & Style,2019
282,GF vs GFGF vs GF ,"73,700","9,787,535",127,People & Blogs,2009
283,一只黑糖啵啵🐻一只黑糖啵啵🐻 ,"72,900","16,931,659",54,Entertainment,2020
284,Sonic & SnakeSonic & Snake ,"72,300","55,525,700",835,Gaming,2013
285,Peachy Bunny BakesPeachy Bunny Bakes ,"72,300","5,227,054",119,Howto & Style,2014
286,KisaBBBKisaBBB ,"71,800","7,838,509",395,Gaming,2007
287,陳柏宇 Jason Chan陳柏宇 Jason Chan ,"71,300","66,380,302",137,People & Blogs,2016
288,AnshelesAnsheles ,"70,800","72,943",2,Entertainment,2010
289,MiHK MOVIEMiHK MOVIE ,"70,600","2,715,600",8,People & Blogs,2015
290,老玩家小熊老玩家小熊 ,"70,600","37,289,249",863,Gaming,2021
291,MELO LOMELO LO ,"70,400","5,453,518",148,People & Blogs,2012
292,ValorGearsValorGears ,"69,800","14,280,757",938,Gaming,2012
293,PlayStation HKPlayStation HK ,"69,200","55,445,686","2,357",Gaming,2010
294,信報財經新聞信報財經新聞 ,"69,000","23,350,205","7,542",News & Politics,2009
295,EAR HEALTHYEAR HEALTHY ,"69,000","10,977,530",552,Science & Technology,2017
296,Jessica WongJessica Wong ,"69,000","3,008,911",80,Howto & Style,2014
297,昼与白鲸昼与白鲸 ,"68,700","18,950,918",156,Film & Animation,2020
298,后宫冷婶儿后宫冷婶儿 ,"68,600","43,142,355",323,Howto & Style,2020
299,CatGirl貓女孩CatGirl貓女孩 ,"68,200",0,0,Entertainment,2015
300,男人EEETV男人EEETV ,"66,400","7,627,706",147,Comedy,2018
